path_in_archive	size_bytes	compressed_bytes	crc32
97/diagram/10104560.graph.json	709	279	80b88c44
97/diagram/10104560.json	1746	501	0a749a76
97/diagram/10104562.graph.json	64733	6617	716254b6
97/diagram/10104562.json	228818	20250	a6ef2fe6
97/diagram/10104564.graph.json	904	284	98702428
97/diagram/10104564.json	2223	533	e12d7aac
97/diagram/10104568.graph.json	201177	21952	c814fa2c
97/diagram/10104568.json	995461	86129	ff6c2428
97/diagram/10104572.graph.json	5213	858	61299d1f
97/diagram/10104572.json	18703	2496	36015407
97/diagram/10104574.graph.json	1538	398	f2462709
97/diagram/10104574.json	10934	1564	f2ec38ef
97/diagram/10104576.graph.json	1746	446	007874f5
97/diagram/10104576.json	4210	827	edc93fe9
97/diagram/10104578.graph.json	6290	981	7d41aede
97/diagram/10104578.json	26105	3099	a92ad652
97/diagram/10104580.graph.json	177641	18931	2f8f483f
97/diagram/10104580.json	347742	30371	a0bb3ebb
97/diagram/10104582.graph.json	2483	554	18d7b46a
97/diagram/10104582.json	12068	1804	b4451fb3
97/diagram/10104588.graph.json	70555	7237	0fb36030
97/diagram/10104588.json	120677	11496	87fb5d2a
97/diagram/10104602.graph.json	40129	4933	2caddc4f
97/diagram/10104602.json	208128	18657	30b2c850
97/diagram/10104608.graph.json	116317	11988	10ffff30
97/diagram/10104608.json	469175	40562	5fd67804
97/diagram/10104612.graph.json	48126	5387	f8bff445
97/diagram/10104612.json	167908	15729	a28ba64f
97/diagram/10104616.graph.json	32358	3771	5fe95b82
97/diagram/10104616.json	51834	5601	8a70c38b
97/diagram/10104626.graph.json	20984	2522	6e4709e0
97/diagram/10104626.json	76598	7643	85c4130c
97/diagram/10104632.graph.json	53962	6327	31c755e9
97/diagram/10104632.json	186838	18534	13b2736e
97/diagram/10104634.graph.json	526	245	cbccad71
97/diagram/10104634.json	2304	622	4aa97872
97/diagram/10104638.graph.json	21558	2721	21cd6d57
97/diagram/10104638.json	53104	5973	8a70bf06
97/diagram/10104640.graph.json	1336	359	ec557eab
97/diagram/10104640.json	8735	1430	9eeced48
97/diagram/10104642.graph.json	929	302	50775b63
